2018-09-27 17:42:01,509 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspaces eclipse\expertaart\matrices\src\main\resources
2018-09-27 17:42:01,514 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-27 17:42:01,523 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspaces eclipse\expertaart\matrices\src\test\resources
2018-09-27 17:42:10,134 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-09-27 17:42:10,993 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: matrices:matrices:0.0.1-SNAPSHOT @ C:\Workspaces eclipse\expertaart\matrices\pom.xml.
2018-09-27 17:42:13,359 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /matrices/src
2018-09-27 17:42:13,362 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /matrices/test
2018-09-27 17:42:15,593 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for matrices
2018-09-27 17:42:15,627 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 5 sec
2018-09-27 17:42:16,940 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-27 17:42:16,942 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspaces eclipse\expertaart\matrices\src\main\resources
2018-09-27 17:42:16,979 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
